"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Neisseria sicca",142.409238350806,-30,2.96174318808993,-10.1291699160951,4.10116112169419e-24,1.92754572719627e-22
"Pseudomonas aeruginosa",21.6021240044555,-28.9181076933967,3.15049156966558,-9.17891924289971,4.35439585513489e-20,1.0232830259567e-18
"Providencia rettgeri",10.4196341974918,-27.8966857173507,3.15070786145155,-8.85410102874421,8.43609510400518e-19,1.32165489962748e-17
"Haemophilus influenzae",14315.5109492994,5.56002957526333,1.06617185748504,5.21494685517091,1.83869943116147e-07,2.16047183161473e-06
"Aggregatibacter segnis",78.6267358256139,-6.81351390496162,1.95635896053859,-3.48275242038704,0.000496287104267536,0.00466509878011484
"Lautropia mirabilis",14.7396510182385,-9.55244046307181,2.84607652391692,-3.35635404838843,0.000789773939013893,0.0061865625222755
"Eikenella corrodens",20.3173707072444,-4.47981539049953,1.59800060303505,-2.80338779722055,0.00505688244212347,0.0339533535399719
"Porphyromonas gingivalis",200.899792737801,-3.11433666604835,1.15090768623938,-2.70598302825183,0.00681025263730265,0.0400102342441531
"Streptococcus pneumoniae",294.363201428029,4.64056359059087,1.86369261877565,2.48998335017256,0.0127749079748166,0.066713408312931
"Neisseria meningitidis",11.0594143280931,-7.21043747479424,3.14966243240502,-2.28927309816135,0.0220634897423372,0.0905971123710404
"Haemophilus parainfluenzae",693.390418736138,-4.85872359116179,2.13170549464116,-2.27926587578632,0.0226512652300396,0.0905971123710404
"Haemophilus haemolyticus",85.8807582027363,-4.18877183536755,1.84424937608642,-2.27126108306259,0.0231311776266486,0.0905971123710404
"Treponema sp. OMZ 838",13.1878170304631,-5.37272527920134,2.48664793429166,-2.16062965935377,0.0307239584356567,0.11107892665199
"Bacteroides fragilis",11.0137379300737,-4.886285620696,2.35004760321856,-2.07922835861022,0.0375963663012323,0.125659534644957
"Neisseria mucosa",6.59686349189313,-6.46577957623057,3.14992852220199,-2.05267501489545,0.0401041068015819,0.125659534644957
"Pasteurella multocida",41.237242452343,2.345183864254,1.18527538222794,1.97859830670388,0.0478612504636768,0.140592423237051
"Cardiobacterium hominis",15.1410812547792,-3.60630562495056,1.86857535927141,-1.92997601464504,0.0536098097246888,0.146572070938874
"Salmonella enterica",12.1087145816602,5.90918161176349,3.09382206537972,1.90999400963876,0.0561339846148878,0.146572070938874
"Fusobacterium nucleatum",133.913508286541,-4.48869526351331,2.43699103374486,-1.84190060667382,0.0654896898706705,0.162000811785343
"Prevotella intermedia",5.99847686943727,-5.76391462145267,3.14980398983185,-1.82992803363627,0.0672607008599713,NA
"Veillonella parvula",188.55092620096,-2.62193812585071,1.56513040503884,-1.67522023558519,0.0938910286798294,0.220643917397599
"Capnocytophaga sputigena",1.87667608336143,-4.65382452201479,2.83447117740509,-1.64186694121733,0.100617582318711,NA
