"","logFC","logCPM","LR","PValue","FDR"
"Tropheryma whipplei",-16.4361356058087,14.8360718508212,30.2516622425926,3.79465898939906e-08,9.86611337243756e-06
"Providencia rettgeri",-16.131505234268,14.5326182778517,28.4323907980421,9.70282837068149e-08,1.26136768818859e-05
"Neisseria meningitidis",-13.8684429266482,12.2743130908839,20.6142230336163,5.61772075412381e-06,0.000484425678133428
"Pseudomonas fluorescens",-13.5256445007183,11.9290325151764,20.073374686051,7.45270274051427e-06,0.000484425678133428
"Phaeodactylum tricornutum",-11.7620476245603,10.1736469162651,17.3039556182207,3.18523109202069e-05,0.00133143114471929
"Roseateles depolymerans",-11.582752744794,10.0030246865625,17.0281905275215,3.68289484928875e-05,0.00133143114471929
"Delftia sp. HK171",-11.4511149220157,9.87968928721093,16.8272860629389,4.09403944152909e-05,0.00133143114471929
"Quercus suber",-11.4495643783779,9.87961194190275,16.8260479711334,4.0967112145209e-05,0.00133143114471929
"Acinetobacter johnsonii",-10.7425212772012,9.14231839555021,15.6828108336591,7.49017962944731e-05,0.00216382967072922
"Actinomyces odontolyticus",-10.3675457248231,8.83625798019626,15.1463151855568,9.9492296316707e-05,0.00258679970423438
"Mycoplasma salivarium",-9.95540052678449,8.39575381502297,14.4653893251535,0.00014275865169121,0.00337429540361042
"Prevotella ruminicola",-9.15923551276898,7.684159543274,13.2633874132703,0.000270640165048881,0.00553916619124601
"Corynebacterium efficiens",-9.0856173584456,7.60948074291899,13.1430169512491,0.00028859279306803,0.00553916619124601
"Corynebacterium kroppenstedtii",-9.03212856543925,7.58176492157916,13.0812723189311,0.000298262794913247,0.00553916619124601
"Granulicatella adiacens",-8.80971350518949,7.3911430922591,12.7507555765104,0.000355865376874413,0.00616833319915648
"Neisseria sicca",-5.94702270468464,16.0890819240162,12.2441017638259,0.000466731160084627,0.00758438135137519
"Lactobacillus fermentum",-6.97137773923207,5.90893494931226,10.0286724986044,0.00154122073734713,0.0235716112770738
"Pseudomonas aeruginosa",-6.99385922025867,13.9533437137896,8.76952200684332,0.00306305710068367,0.0431205682320573
"Proteiniphilum saccharofermentans",-6.05290292740394,5.31211378026951,8.71783602016544,0.00315111844772727,0.0431205682320573
"Jeotgalibaca sp. PTS2502",-7.82233838005331,8.59401137755788,8.2556077249373,0.00406263045841802,0.0528141959594343
"Modestobacter marinus",-7.56193421106077,12.5233185762528,8.01381427861248,0.00464218583225313,0.0574746817326578
"Moraxella bovoculi",12.4081416211227,12.0283056980011,7.87562096775502,0.00501056629423871,0.0592157834773666
"Neisseria elongata",10.7965696644665,10.4293642718862,7.03778403750305,0.00798077149600251,0.0902174169113328
"Cutibacterium granulosum",-6.82903076891547,7.65701730536706,6.76902410595591,0.00927535401605,0.100483001840542
"Trichoderma atroviride",10.0555535151206,9.69813435893792,6.53833475284138,0.0105574128265667,0.109797093396294
"Proteus mirabilis",-6.36557811264913,9.66099453699548,6.1856666165269,0.0128789176901754,0.128789176901754
"Haemophilus influenzae",4.37138435657214,20.7760619038401,6.03028954548628,0.0140624263139416,0.134172942630695
"Gluconobacter oxydans",9.18145201892916,8.82884947028666,5.9446868242093,0.0147617138048767,0.134172942630695
"Enterococcus cecorum",9.13047412792704,8.80456543479087,5.92053147570408,0.014965443601116,0.134172942630695
"Psychrobacter alimentarius",8.73082380827798,8.41540813023726,5.65127810510517,0.017442654503905,0.151024241458457
"Muribaculum intestinale",-5.99891779057571,6.41645903183011,5.59549362297075,0.0180067364815852,0.151024241458457
"Kocuria rhizophila",8.43907939328471,8.14251327423971,5.45874208462777,0.0194706588618754,0.153801901031959
