"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000119922",1147.2059311144,4.40866109295905,0.336379286819123,13.1062204651431,3.03342889056289e-39,4.04143731089693e-35
"ENSG00000138646",166.8942419507,3.82502281155686,0.293407513791833,13.0365537069055,7.58068739558697e-39,5.04987490857026e-35
"ENSG00000119917",800.460733809724,3.80625778789495,0.29305079229613,12.9883893439493,1.42392210711765e-38,6.32363807770951e-35
"ENSG00000107201",114.918963840636,2.97730875840645,0.231065612096349,12.8851226774713,5.45886329877194e-38,1.81821089323846e-34
"ENSG00000099194",68.3548149901832,-3.4740862858793,0.276368225225485,-12.5704982294721,3.06784445319946e-36,8.17457832999528e-33
"ENSG00000137965",332.285555009839,3.38203079317627,0.27530768639746,12.2845491073346,1.0965468429529e-34,2.43488226477691e-31
"ENSG00000122643",188.939116319241,3.29476684068695,0.269587300903538,12.2215209308612,2.38578929010402e-34,4.54083867315083e-31
"ENSG00000131471",15.9741779697125,-3.22805363375043,0.264732195970911,-12.1936571481662,3.35997140045096e-34,5.59561237102601e-31
"ENSG00000173193",286.607690802765,2.29767200492708,0.188587370810609,12.1835942409662,3.80151743383275e-34,5.62751297455041e-31
"ENSG00000137959",244.099449722816,3.44159576311185,0.286787373628477,12.0005135497015,3.53098652000209e-33,4.70433334059878e-30
"ENSG00000177409",171.287084349772,2.54500490996243,0.212532245465709,11.9746766161799,4.82314545691904e-33,5.84170608386658e-30
"ENSG00000185745",256.630490980503,4.14916160254635,0.349352020026629,11.8767356840533,1.56354704698596e-32,1.73592810891616e-29
"ENSG00000108700",170.368113572193,4.69766069707599,0.406065633747415,11.5687226562937,5.93598075756792e-31,6.08346704869827e-28
"ENSG00000196684",95.6687868351822,2.34426168853219,0.205930382406509,11.3837582445926,5.03807856101537e-30,4.47482137789385e-27
"ENSG00000105939",113.64596868839,2.09552202477064,0.185364877805824,11.3048493844976,1.24167028319382e-29,9.82858620798316e-27
"ENSG00000185897",58.1796187826704,2.60039164879264,0.23004225680676,11.3039738215445,1.25411668194636e-29,9.82858620798316e-27
"ENSG00000185507",553.249305878872,2.33062143538762,0.206896567724194,11.2646693999027,1.96086489359521e-29,1.45136683207606e-26
"ENSG00000205413",95.148132320522,2.43348251431901,0.216720936383143,11.2286452565747,2.94966377739527e-29,2.01713010551572e-26
"ENSG00000152778",59.4558191161883,2.59555606452167,0.231202594655962,11.226327578131,3.0280418907389e-29,2.01713010551572e-26
"ENSG00000263069",83.4254148793547,2.07493350781038,0.185560946318126,11.1819515311865,4.99786866332207e-29,3.17079067625904e-26
"ENSG00000055332",136.999932461721,2.15159261119777,0.194016921874941,11.0897162495168,1.40733455359223e-28,8.5226901170497e-26
"ENSG00000115267",226.750385260086,2.32543856070763,0.212795109276512,10.9280639419485,8.46348618698989e-28,4.90256636822897e-25
"ENSG00000115414",110.858090469606,-2.91202423390425,0.269777054309065,-10.7941879688854,3.66689605776187e-27,1.87900216067544e-24
"ENSG00000168062",59.1860480054074,2.68135306792226,0.250104208343567,10.720943424666,8.11711123557423e-27,4.00534344413169e-24
"ENSG00000133574",106.460275131048,2.21374682554895,0.207240492365774,10.6820187516335,1.23555133672236e-26,5.87901802112574e-24
"ENSG00000198848",66.2537644543049,-2.44916618878308,0.230936369520243,-10.6053723537401,2.81341064679664e-26,1.29251965680247e-23
"ENSG00000187608",2514.72226198573,3.50220262022803,0.332553520651433,10.5312450560368,6.20088164304465e-26,2.66497890742851e-23
"ENSG00000154783",10.2414768472377,-3.21716283956729,0.308040564993766,-10.4439583781195,1.56160213699019e-25,6.11918390327068e-23
"ENSG00000133106",280.143069131885,2.36858274615576,0.227066920634002,10.431210057116,1.78599182974707e-25,6.79850547077721e-23
"ENSG00000228318",41.0209340753773,3.43210469848725,0.32929753053625,10.4225036030431,1.95731798705169e-25,7.24370765041379e-23
"ENSG00000111331",300.923467915381,2.56993242502929,0.247406691826885,10.3874814624154,2.82719961389924e-25,1.01802109340485e-22
"ENSG00000134321",968.765614069234,3.57462049132851,0.344802810596633,10.3671442965999,3.4982287790924e-25,1.22649742168021e-22
"ENSG00000108771",74.4384540384554,2.46873572329563,0.238730802141456,10.3410858638711,4.59303310218508e-25,1.49251170781492e-22
"ENSG00000170323",115.159574369365,-4.83644951372251,0.468964378842243,-10.3130423800257,6.15222812556669e-25,1.95157465040298e-22
"ENSG00000186417",9.35898968449647,-2.92937364901949,0.284811062388228,-10.285322572992,8.20668128992436e-25,2.48494579149232e-22
"ENSG00000214872",27.9235927166439,2.63275998662604,0.256321946869851,10.271301458095,9.49154565938407e-25,2.81013028488831e-22
"ENSG00000130208",249.373868599406,-3.07666675671227,0.301223171148503,-10.2139113169201,1.71796773639133e-24,4.97575742433514e-22
"ENSG00000184979",81.3285667892619,3.35267879210848,0.332174856412454,10.0931142962414,5.92590245877953e-24,1.57901596916639e-21
