"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000099194",-3.40535841857547,5.70593700842703,174.951357770692,6.13520248089286e-40,6.84197780669172e-36
"ENSG00000131471",-3.14180929577721,3.72069136965403,168.064861106215,1.95809599190647e-38,1.09183432508705e-34
"ENSG00000094914",-2.83350275261869,4.38487930233954,128.155509417995,1.03784148062805e-29,3.85800273065466e-26
"ENSG00000198848",-2.35847332017918,5.635379072344,126.859056401136,1.99446663222207e-29,5.56057297063514e-26
"ENSG00000107201",3.11986306780478,6.58101706603501,123.665425293852,9.97163733761364e-29,2.22407399178135e-25
"ENSG00000106443",-2.70551422841347,4.29849366234667,121.231652540747,3.40017965458961e-28,6.31980058466389e-25
"ENSG00000185800",-3.24715297838179,5.37787600043713,120.284534266598,5.4807752802307e-28,8.73165798930468e-25
"ENSG00000173193",2.43925030894991,7.88072908259081,118.917943072543,1.09152791574062e-27,1.44971897892802e-24
"ENSG00000115414",-2.70547091128476,6.31692904927829,118.780288621092,1.16996689475899e-27,1.44971897892802e-24
"ENSG00000138646",4.00645748942403,7.115077762499,116.956211400371,2.93476077230683e-27,3.27284521327657e-24
"ENSG00000170323",-4.76520923115252,6.44483734041574,116.264916157238,4.15864335449449e-27,4.12473091055293e-24
"ENSG00000130208",-3.01816664564945,7.54799165532994,116.13580952698,4.43837615913156e-27,4.12473091055293e-24
"ENSG00000185507",2.54914118007863,8.81758718266942,111.862873963374,3.82898277508307e-26,3.02774906844412e-23
"ENSG00000105939",2.27113314111713,6.55379467028959,111.740645220898,4.07247453610669e-26,3.02774906844412e-23
"ENSG00000162129",-2.40088802266912,4.6264376326782,111.145113573031,5.49941994131277e-26,3.833095699095e-23
"ENSG00000196684",2.52667309475814,6.31342190790595,110.767577917969,6.65309634335914e-26,4.34821889534925e-23
"ENSG00000177409",2.66907420764468,7.14543502540288,110.661644473679,7.01828731315338e-26,4.34821889534925e-23
"ENSG00000119917",3.93956278566786,9.37616235272363,110.232358080545,8.71523045660957e-26,5.11538158168999e-23
"ENSG00000012211",-2.86702588729284,4.65294284201887,109.8191630308,1.07350564676834e-25,5.98586748638024e-23
"ENSG00000027847",-2.92304604211198,4.2641718232315,109.631751912425,1.17995258698622e-25,6.2661101190811e-23
"ENSG00000138207",-3.96156308536451,4.03125803227752,109.099544520855,1.54337029024704e-25,7.58227438617542e-23
"ENSG00000185885",2.00469448477615,10.6567453355496,109.073509102326,1.56377610188338e-25,7.58227438617542e-23
"ENSG00000122643",3.45151101382028,7.28581737088965,108.300751380606,2.30936990316601e-25,1.07308721500447e-22
"ENSG00000168062",2.95941541129283,5.60071460407019,106.650733396382,5.30963697426482e-25,2.2774258283462e-22
"ENSG00000263069",2.21282026749556,6.11072032640999,106.466333504153,5.82741285605574e-25,2.37178716839558e-22
