ID,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ORF
3429_at,9.15E-47,4.92E-51,20.4744283,104.73662,3.87692921,3429,IFI27
51246_at,2.94E-42,3.16E-46,18.8306811,93.95758,0.60162262,51246,SHISA5
8519_at,1.96E-33,3.15E-37,15.8519693,73.71296,0.95016274,8519,IFITM1
6614_at,1.05E-32,2.26E-36,15.5736931,71.78635,1.79479141,6614,SIGLEC1
2537_at,1.15E-32,3.1E-36,15.5288133,71.47523,1.87579119,2537,IFI6
129607_at,3.1E-30,9.99E-34,14.7150406,65.81841,1.9232935,129607,CMPK2
94240_at,6.51E-30,2.45E-33,14.5889437,64.93979,1.01245043,94240,EPSTI1
83666_at,1.35E-29,5.8E-33,14.467675,64.09445,0.96290959,83666,PARP9
4061_at,2.27E-29,1.1E-32,14.3782344,63.47079,1.20073304,4061,LY6E
5359_at,1.29E-26,6.93E-30,13.4718932,57.14754,1.16653526,5359,PLSCR1
8638_at,1.76E-26,1.04E-29,13.4149198,56.7502,1.69621237,8638,OASL
10964_at,1.21E-25,7.81E-29,13.131106,54.77196,2.32426664,10964,IFI44L
91543_at,1.3E-25,9.05E-29,13.1103095,54.62709,1.62623415,91543,RSAD2
5610_at,2.45E-25,1.84E-28,13.0100521,53.9289,1.20377189,5610,EIF2AK2
4938_at,4.8E-25,3.87E-28,12.9055218,53.20133,1.43066646,4938,OAS1
10561_at,5.2E-25,4.47E-28,12.885319,53.06077,1.83430722,10561,IFI44
54739_at,3.1E-24,2.83E-27,12.624852,51.25016,1.25498937,54739,XAF1
4615_at,4.7E-24,4.55E-27,12.5578732,50.78513,0.58948539,4615,MYD88
3437_at,4.89E-24,4.99E-27,12.5446863,50.6936,1.82731967,3437,IFIT3
6948_at,1.07E-23,1.15E-26,12.4261552,49.87138,1.02773758,6948,TCN2
9636_at,1.12E-23,1.28E-26,12.4119588,49.77296,1.58664581,9636,ISG15
1230_at,1.12E-23,1.32E-26,12.4068941,49.73785,1.26668338,1230,CCR1
158405_at,3.62E-23,4.47E-26,12.2342765,48.54231,1.1747009,158405,KIAA1958
4940_at,1.85E-22,2.39E-25,11.9962186,46.89719,1.6182411,4940,OAS3
3434_at,2.99E-22,4.02E-25,11.9223591,46.38774,2.46273122,3434,IFIT1
11274_at,7E-22,9.78E-25,11.7956254,45.51476,2.1467489,11274,USP18
4600_at,8.54E-22,1.24E-24,11.7619188,45.28284,0.91482218,4600,MX2
91351_at,8.85E-22,1.33E-24,11.7516572,45.21225,1.20344983,91351,DDX60L
54877_at,1.84E-21,2.87E-24,11.6417978,44.45726,0.96899286,54877,ZCCHC2
3557_at,2.86E-21,4.61E-24,11.5742581,43.99373,1.39445907,3557,IL1RN
4599_at,4.19E-21,6.98E-24,11.5148903,43.58671,1.41007265,4599,MX1
103_at,6.93E-21,1.19E-23,11.4381554,43.06121,0.69167783,103,ADAR
8743_at,1.15E-20,2.03E-23,11.3616342,42.53786,0.87070984,8743,TNFSF10
55601_at,2.44E-20,4.46E-23,11.2486615,41.76655,1.38086409,55601,DDX60
911_at,2.81E-20,5.28E-23,-11.224314,41.60053,-0.90044888,911,CD1C
2048_at,3.17E-20,6.14E-23,11.202778,41.45375,0.95498988,2048,EPHB2
342510_at,3.76E-20,7.47E-23,11.1744537,41.26079,1.02347751,342510,CD300E
26270_at,4.02E-20,8.28E-23,11.1597124,41.16041,1.01541424,26270,FBXO6
133_at,4.02E-20,8.43E-23,11.1569601,41.14167,1.52707779,133,ADM
200315_at,4.21E-20,9.06E-23,11.1466855,41.07173,0.7559736,200315,APOBEC3A
683_at,7.71E-20,1.7E-22,11.0559468,40.45466,1.17155516,683,BST1
83982_at,1.1E-19,2.52E-22,10.9989962,40.06796,0.50023027,83982,IFI27L2
219285_at,1.1E-19,2.53E-22,10.9983266,40.06342,0.83009175,219285,SAMD9L
3956_at,1.44E-19,3.41E-22,10.9550578,39.76994,0.67225753,3956,LGALS1
2799_at,1.8E-19,4.35E-22,10.9199539,39.53204,0.61910676,2799,GNS
4939_at,3.65E-19,9.02E-22,10.8142852,38.81707,1.13033514,4939,OAS2
4001_at,4.12E-19,1.04E-21,10.7933457,38.6756,0.94495448,4001,LMNB1
151636_at,5.71E-19,1.47E-21,10.7430432,38.33602,0.59516651,151636,DTX3L
6993_at,6.71E-19,1.77E-21,10.716563,38.15743,0.69435459,6993,DYNLT1
3665_at,7.01E-19,1.88E-21,10.7072943,38.09494,1.14056455,3665,IRF7
2896_at,8.75E-19,2.4E-21,10.672035,37.85737,0.54696758,2896,GRN
246329_at,1.29E-18,3.61E-21,10.6124434,37.45632,0.77130676,246329,STAC3
8360_at,1.31E-18,3.72E-21,10.6081163,37.42723,0.8010533,8360,HIST1H4D
9447_at,2.14E-18,6.2E-21,10.5335573,36.92636,1.44790463,9447,AIM2
306_at,2.56E-18,7.57E-21,10.5043828,36.73064,1.74139071,306,ANXA3
91860_at,2.82E-18,8.47E-21,10.4878054,36.6195,0.4106893,91860,CALML4
26010_at,3.24E-18,9.93E-21,10.4646058,36.46404,1.53921468,26010,SPATS2L
10673_at,3.97E-18,1.24E-20,10.4323588,36.24812,1.05705507,10673,TNFSF13B
51510_at,4.31E-18,1.37E-20,10.4176289,36.14955,0.64912488,51510,CHMP5
2207_at,4.56E-18,1.47E-20,10.4069406,36.07806,0.60065114,2207,FCER1G
684_at,4.82E-18,1.58E-20,10.3965543,36.0086,1.01574486,684,BST2
8342_at,6.51E-18,2.17E-20,10.3499966,35.6975,0.84441628,8342,HIST1H2BM
3820_at,6.52E-18,2.22E-20,-10.3469242,35.67699,-1.05151586,3820,KLRB1
116369_at,6.52E-18,2.24E-20,10.3450318,35.66435,1.57379304,116369,SLC26A8
7100_at,7.62E-18,2.66E-20,10.3198399,35.49621,1.04997929,7100,TLR5
55640_at,8.04E-18,2.85E-20,10.3097672,35.42902,0.87587466,55640,FLVCR2
9246_at,8.95E-18,3.22E-20,10.2917714,35.30902,0.68789538,9246,UBE2L6
51191_at,9.39E-18,3.43E-20,10.282556,35.24759,1.93816748,51191,HERC5
710_at,1.06E-17,3.94E-20,10.2622423,35.11225,2.00354511,710,SERPING1
24138_at,1.32E-17,4.98E-20,10.2276677,34.88207,0.9036854,24138,IFIT5
6272_at,1.33E-17,5.06E-20,10.2253733,34.86681,1.23345276,6272,SORT1
7706_at,2.32E-17,8.96E-20,10.1410132,34.30623,0.47146856,7706,TRIM25
51465_at,2.62E-17,1.03E-19,10.1205598,34.17054,0.48202057,51465,UBE2J1
6280_at,3.06E-17,1.23E-19,10.0941997,33.99578,0.9319838,6280,S100A9
64108_at,3.06E-17,1.23E-19,10.0938185,33.99325,1.3960264,64108,RTP4
81030_at,3.71E-17,1.52E-19,10.0633237,33.79127,1.25999625,81030,ZBP1
105379461_at,4.31E-17,1.79E-19,-10.0390381,33.63055,-0.4746013,105379461,LOC105379461
115352_at,5.72E-17,2.4E-19,-9.995388,33.34199,-0.83570786,115352,FCRL3
22905_at,6.08E-17,2.58E-19,-9.9843204,33.26889,-0.51192757,22905,EPN2
10346_at,9E-17,3.87E-19,9.9242319,32.87248,0.73050319,10346,TRIM22
3430_at,1.32E-16,5.75E-19,9.8653075,32.48453,0.78936688,3430,IFI35
10720_at,1.49E-16,6.65E-19,-9.8435104,32.34121,-1.18211821,10720,UGT2B11
10000_at,1.49E-16,6.66E-19,-9.8433275,32.34001,-0.46440813,10000,AKT3
6122_at,1.61E-16,7.31E-19,-9.829496,32.24913,-0.37169558,6122,RPL3
4897_at,1.61E-16,7.35E-19,-9.8285352,32.24281,-0.59122725,4897,NRCAM
10602_at,1.61E-16,7.43E-19,9.8270665,32.23317,0.69262984,10602,CDC42EP3
5608_at,2.45E-16,1.15E-18,9.7621831,31.80744,1.18427886,5608,MAP2K6
23166_at,2.63E-16,1.24E-18,9.750105,31.7283,0.82630983,23166,STAB1
6303_at,3.03E-16,1.45E-18,9.7269087,31.57641,0.51491632,6303,SAT1
6283_at,4.19E-16,2.03E-18,9.6768632,31.24913,1.10949175,6283,S100A12
3428_at,4.19E-16,2.05E-18,9.6753068,31.23896,0.33931919,3428,IFI16
27348_at,4.64E-16,2.29E-18,9.6582825,31.12777,0.83612413,27348,TOR1B
