"","Name","adj.P.Val","P.Value","logFC"
"1","IFI27",1.68e-24,3.44e-29,5.19
"2","TXN",1.95e-15,7.99e-20,0.827
"3","TXN",3.9e-15,2.4e-19,0.838
"4","TIMD4",1.06e-13,8.69e-18,2.33
"5","SYT17",1.34e-13,1.37e-17,-1.07
"6","PTTG3P",1.36e-13,1.72e-17,1.09
"7","PTTG1",1.36e-13,1.96e-17,1.08
"8","CDHR3",1.98e-13,3.24e-17,-1.27
"9","VAV3-AS1",3.02e-13,5.57e-17,-1.44
"10","CENPW",3.97e-13,8.13e-17,0.854
"11","",8.75e-13,1.97e-16,1.01
"12","LRRC26",1.18e-12,2.91e-16,-1.22
"13","SLC30A1",2.6e-12,6.92e-16,0.84
"14","HMGB2",3.06e-12,8.79e-16,0.819
"15","LGALS1",4.19e-12,1.29e-15,0.957
"16","SPRY1",5.25e-12,1.72e-15,-1.1
"17","CD1C",8.81e-12,3.07e-15,-1.02
"18","FBXO6",1.16e-11,4.29e-15,1.24
"19","",1.68e-11,6.54e-15,-1.69
"20","IFITM3",1.79e-11,7.34e-15,1.92
"21","PRRT2",1.91e-11,8.24e-15,-0.843
"22","MCM10",2.07e-11,9.34e-15,1.46
"23","PTTG1",3.2e-11,1.53e-14,0.978
"24","",3.2e-11,1.57e-14,-1.04
"25","ADAM28",3.3e-11,1.69e-14,-1.34
"26","",3.62e-11,1.93e-14,-1.05
"27","TCTN1",4.6e-11,2.55e-14,-0.997
"28","",6.14e-11,3.52e-14,-1.17
"29","",6.28e-11,3.73e-14,1.29
"30","H2AFJ",9.61e-11,5.91e-14,0.83
"31","H1F0",9.62e-11,6.11e-14,1.19
"32","RPS6KA5",1.06e-10,7.03e-14,-0.686
"33","ATOX1",1.06e-10,7.2e-14,0.622
"34","MT1G",1.29e-10,9.24e-14,1.49
"35","GPR84",1.32e-10,9.73e-14,2.2
"36","SLC30A1",1.53e-10,1.16e-13,0.829
"37","GMNN",2.51e-10,2e-13,0.95
"38","DCANP1",4.03e-10,3.31e-13,-0.796
"39","HIP1R",4.17e-10,3.5e-13,-0.893
"40","RNASE2",5.13e-10,4.41e-13,1.62
"41","HMMR",5.48e-10,4.89e-13,1.34
"42","SPA17",5.48e-10,4.94e-13,0.762
"43","ZBTB20",5.92e-10,5.45e-13,-0.778
"44","GINS2",6.55e-10,6.22e-13,1.1
"45","HMMR",6.55e-10,6.3e-13,1.33
"46","",6.63e-10,6.64e-13,-0.775
"47","DEPDC1B",6.63e-10,6.67e-13,1.36
"48","CXCR5",6.63e-10,6.8e-13,-1.06
"49","TMEM167A",6.63e-10,6.93e-13,0.712
"50","",7.35e-10,7.83e-13,-0.677
"51","",7.82e-10,8.49e-13,-1.37
"52","OASL",8.06e-10,8.92e-13,1.85
