"","KEGG_pathway","pNDE","pPERT","pG","pGFdr","pGFWER","Status","Entrez_id"
"1","Measles",1.8578191130766e-13,0.017,1.6047190553156e-11,9.17772876502237e-10,1.50843591199667e-09,"Activated","3665 7097 7099 23586 5970 6772 3717 207 6774 5610 8743"
"2","Influenza A",1.61266447015412e-16,0.119,1.9527082478771e-11,9.17772876502237e-10,1.83554575300447e-09,"Activated","23586 5970 3665 207 6772 6352 3576 3383 5610 8743 60 3627 3717 7099"
"3","Toxoplasmosis",1.01236979134702e-13,0.263,8.3258316884922e-09,2.60876059572756e-07,7.82628178718267e-07,"Activated","5970 3717 6772 8651 6774 836 207 7099 7097 1234 3586"
"4","Chemokine signaling pathway",1.45840223181065e-18,0.877,4.60005246360192e-08,1.08101232894645e-06,4.3240493157858e-06,"Activated","1234 3576 3627 4283 6351 6352 6373 6374 3717 6714 9564 6772 6774 207 5970"
"5","Cytokine-cytokine receptor interaction",4.69660418612943e-11,0.185,9.26981817136945e-08,1.74272581621746e-06,8.71362908108728e-06,"Activated","3586 1234 6352 6351 6373 3627 4283 3576 6374 8743"
"6","Hepatitis C",3.80129780673138e-09,0.086,2.2003367011329e-07,3.44719416510821e-06,2.06831649906493e-05,"Activated","23586 3665 5970 6772 3576 6774 5610 207"
"7","Cytosolic DNA-sensing pathway",1.84662659122469e-08,0.063,3.27096493459294e-07,4.39243862645338e-06,3.07470703851737e-05,"Activated","3665 3627 5970 23586 6351 6352"
"8","Herpes simplex infection",5.46749628982777e-09,0.101,3.83301080348969e-07,4.50378769410038e-06,3.6030301552803e-05,"Activated","5970 7097 3665 6352 23586 5610 6772 3717 836"
"9","Toll-like receptor signaling pathway",2.3236738862645e-16,0.879,4.44688882095492e-07,4.64452832410847e-06,4.18007549169762e-05,"Activated","3665 6373 3627 3576 6352 207 6772 7097 7099 4283 5970 6351"
"10","Tuberculosis",1.58454844046696e-10,0.591,9.1297251197677e-06,8.58194161258164e-05,0.000858194161258164,"Activated","3586 3684 6772 3717 7097 5970 7099 836 207 6714"
"11","Rheumatoid arthritis",6.35209495030572e-09,0.432,1.70239586750349e-05,0.000145477465041208,0.00160025211545328,"Activated","3383 3576 6374 7097 7099 6352 1493"
"12","NF-kappa B signaling pathway",6.83736225710091e-07,0.221,3.7672616162297e-05,0.000293340667662812,0.00354122591925591,"Activated","5970 3576 7099 23586 6351 3383"
"13","Epstein-Barr virus infection",7.07320425591365e-06,0.109,4.05683902086868e-05,0.000293340667662812,0.00381342867961656,"Activated","5970 3383 207 23586 3586 5610 6774"
"14","Malaria",2.58586833114749e-07,0.379,8.24713994032562e-05,0.000553736538850434,0.00775231154390608,"Activated","3383 7097 7099 3586 3576"
"15","Leishmaniasis",4.42041994238364e-09,0.701,0.00011031379651685,0.000691299791505596,0.0103694968725839,"Activated","3684 3717 6772 7097 7099 5970 3586"
"16","Pertussis",4.42041994238364e-09,0.715,0.000123517321822919,0.000725664265709648,0.0116106282513544,"Inhibited","3684 7099 5970 3576 6374 836 3586"
"17","Focal adhesion",0.000133815313943953,0.086,0.000197792173510985,0.00109367437117839,0.0185924643100326,"Inhibited","207 6714 2335 9564 60"
"18","Amoebiasis",1.38132354673097e-10,0.908,0.000212930209870079,0.00111196887376597,0.0200154397277874,"Activated","2335 5970 3576 836 7097 7099 3684 3586"
"19","Pathways in cancer",2.05363307598528e-05,0.203,0.000243621670750192,0.00120528616055358,0.022900437050518,"Inhibited","836 2335 6774 6772 5970 3576 207"
"20","Jak-STAT signaling pathway",1.17099743026607e-06,0.461,0.000327460111389187,0.00153906252352918,0.0307812504705836,"Inhibited","207 8651 6772 6774 3717 3586"
"21","Small cell lung cancer",0.00195587282219643,0.035,0.000447910133983273,0.00200493107592513,0.0421035525944277,"Inhibited","207 2335 5970"
"22","Epithelial cell signaling in Helicobacter pylori infection",2.66373212853246e-06,0.514,0.000702676022890759,0.00300234300689688,0.0660515461517314,"Inhibited","836 5970 6352 3576 6714"
"23","Chagas disease (American trypanosomiasis)",3.64110762878873e-08,0.822,0.000804033315969244,0.00316289387600686,0.0755791317011089,"Inhibited","7097 7099 5970 207 3586 3576 6352"
"24","T cell receptor signaling pathway",1.35310574665041e-06,0.592,0.000807547372597497,0.00316289387600686,0.0759094530241647,"Inhibited","3586 5970 207 3937 5788 1493"
"25","Osteoclast differentiation",9.54218107594916e-05,0.26,0.000990670523902361,0.00372492116987288,0.093123029246822,"Inhibited","5970 6772 207 3937 8651"
"26","Bacterial invasion of epithelial cells",8.77029394045806e-05,0.306,0.00129874219056283,0.00469545253511178,0.122081765912906,"Inhibited","6714 60 9564 2335"
"27","Apoptosis",0.000224895337543276,0.243,0.00147034771871794,0.00511898835405505,0.138212685559486,"Activated","836 5970 207 8743"
"28","RIG-I-like receptor signaling pathway",1.59766403115755e-06,0.685,0.00157369734333909,0.00528312679549553,0.147927550273875,"Activated","23586 5970 3665 3576 3627"
"29","Legionellosis",6.33882320982142e-08,0.92,0.00304937209894211,0.00988417163105374,0.286640977300558,"Activated","5970 836 3684 7097 7099 3576"
"30","Regulation of actin cytoskeleton",0.000253901286555572,0.373,0.00360078392464898,0.0112824562972335,0.338473688917004,"Inhibited","9564 6714 3684 2335 60"
"31","Pancreatic cancer",8.77029394045806e-05,0.593,0.00644619261627229,0.019546519546116,0.605942105929595,"Inhibited","207 5970 6774 6772"
"32","Alzheimer's disease",0.00286498876454178,0.244,0.00726269178617787,0.0213341571218975,0.68269302790072,"Inhibited","351 836 348 2597"
"33","Acute myeloid leukemia",0.00134815197945252,0.373,0.00937048192339028,0.0265496459696037,0.880825300798687,"Inhibited","5970 6774 207"
"34","Salmonella infection",1.01479606114231e-05,0.829,0.00960306343581411,0.0265496459696037,0.902687962966527,"Inhibited","5970 3576 60 7099 6351"
"35","Natural killer cell mediated cytotoxicity",3.02337627612295e-05,0.776,0.0107334452464376,0.0288269672332896,1,"Activated","8743 3937 836 3002 3383"
"36","Adipocytokine signaling pathway",4.31714683711457e-05,0.793,0.013955424244954,0.0364391633062688,1,"Activated","5970 6774 207 3717"
"37","Insulin signaling pathway",0.0676206396927883,0.056,0.014627922943897,0.0371628312628736,1,"Inhibited","8651 207"
"38","ECM-receptor interaction",0.132854869602041,0.042,0.0222769585638889,0.0551061606580409,1,"Inhibited","2335"
"39","Carbohydrate digestion and absorption",0.0827202106866018,0.08,0.0241740565657007,0.0582656747993812,1,"Inhibited","207"
"40","Viral myocarditis",0.000997628669404545,0.673,0.0308330608535098,0.0724576930057481,1,"Activated","836 3383 60"
