ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title
ILMN_2058782,1.26E-19,1.14E-23,12.973901,42.72988,5.4738454,572871494,IFI27,interferon alpha inducible protein 27
ILMN_1755843,1.96E-12,3.54E-16,9.634324,26.21116,2.7556881,301601600,SLC26A8,solute carrier family 26 member 8
ILMN_1801246,3.58E-11,9.71E-15,8.996401,23.02512,1.1271023,150010588,IFITM1,interferon induced transmembrane protein 1
ILMN_2347798,1.12E-10,4.33E-14,8.707019,21.58672,2.5795844,94538329,IFI6,interferon alpha inducible protein 6
ILMN_1835092,1.12E-10,5.05E-14,8.677171,21.4387,2.9661286,21176493,IFI44L,interferon induced protein 44 like
ILMN_1745242,1.39E-10,7.53E-14,8.599602,21.0544,2.1807425,176865826,PLSCR1,phospholipid scramblase 1
ILMN_1674038,1.48E-10,9.36E-14,8.557251,20.8448,1.3601831,332078524,CTSD,cathepsin D
ILMN_1805750,2.23E-10,1.61E-13,8.451261,20.32097,2.1990031,148612841,IFITM3,interferon induced transmembrane protein 3
ILMN_1760062,4.57E-10,3.97E-13,8.275186,19.45329,2.1323737,166706910,IFI44,interferon induced protein 44
ILMN_1722981,4.57E-10,4.13E-13,8.267384,19.41492,1.6564178,281427130,TLR5,toll like receptor 5
ILMN_2266595,4.64E-10,4.61E-13,8.245851,19.30906,1.3582965,542133072,LILRA5,leukocyte immunoglobulin like receptor A5
ILMN_1724250,4.81E-10,5.22E-13,8.221533,19.18957,1.5367636,720642624,GRN,granulin
ILMN_1801254,6.24E-10,7.83E-13,8.142257,18.80054,1.896084,NA,,
ILMN_1695404,6.24E-10,7.9E-13,8.140379,18.79134,1.6545112,187827163,LY6E,"lymphocyte antigen 6 complex, locus E"
ILMN_2176063,9.92E-10,1.35E-12,8.035752,18.27914,2.4075228,167621452,FCGR1A,Fc fragment of IgG receptor Ia
ILMN_1740572,1.52E-09,2.2E-12,7.938814,17.80591,1.9192919,296080702,TCN2,transcobalamin 2
ILMN_2357419,3.42E-09,5.26E-12,7.766436,16.96776,2.3051463,542133072,LILRA5,leukocyte immunoglobulin like receptor A5
ILMN_1687384,3.96E-09,6.63E-12,7.720314,16.74428,1.5392966,94538330,IFI6,interferon alpha inducible protein 6
ILMN_3246805,3.96E-09,6.89E-12,7.712602,16.70695,1.4634776,NA,,
ILMN_1775708,3.96E-09,7.15E-12,7.705149,16.67088,1.1114146,221136810,SLC2A3,solute carrier family 2 member 3
ILMN_2261600,4.23E-09,8.03E-12,7.682076,16.55927,2.2717249,349732137,FCGR1B,Fc fragment of IgG receptor Ib
ILMN_2390586,4.36E-09,8.68E-12,7.666752,16.4852,1.0012495,122939207,SP100,SP100 nuclear antigen
ILMN_1762713,4.51E-09,9.38E-12,7.651291,16.4105,2.2601872,109698610,MCEMP1,mast cell expressed membrane protein 1
ILMN_1654875,4.61E-09,1E-11,-7.637769,16.3452,-1.9929522,357588508,CLC,Charcot-Leyden crystal galectin
ILMN_2139100,4.61E-09,1.09E-11,7.621905,16.26863,0.9201377,441418783,SHISA5,shisa family member 5
ILMN_1673352,4.61E-09,1.11E-11,7.617258,16.24621,0.8508541,151101190,IFITM2,interferon induced transmembrane protein 2
ILMN_1678833,4.61E-09,1.13E-11,7.614884,16.23476,1.62851,53759124,CCR1,C-C motif chemokine receptor 1
ILMN_1708934,5.93E-09,1.5E-11,7.557287,15.95721,1.4469363,675022745,ADM,adrenomedullin
ILMN_1685538,6.55E-09,1.74E-11,-7.527615,15.81446,-0.7770016,NA,,
ILMN_1703108,6.55E-09,1.78E-11,7.52367,15.79549,1.3648329,332078505,UBE2L6,ubiquitin conjugating enzyme E2 L6
ILMN_2126706,6.88E-09,1.93E-11,7.507213,15.7164,1.4574234,310688956,LMNB1,lamin B1
ILMN_1726545,9.79E-09,2.9E-11,7.42556,15.32471,2.0628623,334883169,LILRA5,leukocyte immunoglobulin like receptor A5
ILMN_1719205,9.79E-09,2.92E-11,-7.423969,15.31709,-0.7280028,215272338,FBL,fibrillarin
ILMN_1723912,1.01E-08,3.12E-11,7.410982,15.25491,2.5669808,732662992,IFI44L,interferon induced protein 44 like
ILMN_2364110,1.12E-08,3.54E-11,7.385346,15.13227,0.9710975,284807146,GBA,glucosylceramidase beta
ILMN_1736729,1.34E-08,4.47E-11,7.338631,14.90912,2.1004012,74229016,OAS2,2'-5'-oligoadenylate synthetase 2
ILMN_2412214,1.34E-08,4.49E-11,7.337335,14.90293,1.2582527,102469529,LGALS9,galectin 9
ILMN_1689734,1.49E-08,5.14E-11,7.310253,14.77377,2.3260057,296010861,IL1RN,interleukin 1 receptor antagonist
ILMN_1757467,1.49E-08,5.25E-11,7.305994,14.75347,1.3210709,85838503,H1F0,H1 histone family member 0
ILMN_1690939,1.51E-08,5.47E-11,7.297597,14.71346,1.9289842,384229046,TYMP,thymidine phosphorylase
ILMN_1678494,1.53E-08,5.69E-11,7.289885,14.67673,1.1657622,219555723,ZNF438,zinc finger protein 438
ILMN_3223126,1.7E-08,6.48E-11,7.263616,14.5517,1.9353643,384229047,TYMP,thymidine phosphorylase
ILMN_2379967,1.94E-08,7.55E-11,7.232695,14.40471,1.7815367,751247039,FCAR,Fc fragment of IgA receptor
ILMN_1750974,2.08E-08,8.28E-11,7.213785,14.31492,0.8260702,114520589,S100A9,S100 calcium binding protein A9
ILMN_1657612,2.08E-08,8.45E-11,-7.209692,14.29549,-0.4932594,NA,,
ILMN_1733559,2.25E-08,9.5E-11,7.186028,14.18325,1.6406532,225637499,RNA28S5,"RNA, 28S ribosomal 5"
ILMN_2410826,2.25E-08,9.58E-11,7.18441,14.17558,1.9614835,992319652,OAS1,2'-5'-oligoadenylate synthetase 1
ILMN_3249578,2.68E-08,1.18E-10,7.141626,13.97298,1.6845801,NA,,
ILMN_2066858,2.68E-08,1.19E-10,7.140717,13.96869,1.3166128,325053718,TNFSF13B,tumor necrosis factor superfamily member 13b
ILMN_1774874,2.72E-08,1.23E-10,7.133859,13.93625,1.5593612,296010857,IL1RN,interleukin 1 receptor antagonist
ILMN_1766184,3.12E-08,1.44E-10,7.10155,13.78357,1.0834969,111494238,LGALS9C,galectin 9C
ILMN_1906187,3.31E-08,1.56E-10,-7.085423,13.70745,-0.6747956,21757111,CAMK1D,calcium/calmodulin dependent protein kinase ID
ILMN_2123743,3.5E-08,1.68E-10,7.070497,13.63706,1.0011067,4758343,FCER1G,Fc fragment of IgE receptor Ig
ILMN_3304130,3.75E-08,1.83E-10,-7.052296,13.55128,-0.6803758,NA,,
ILMN_1681721,4.31E-08,2.14E-10,7.020277,13.40057,2.1520635,387849325,OASL,2'-5'-oligoadenylate synthetase like
ILMN_1765493,4.37E-08,2.22E-10,7.013417,13.36832,0.9283278,223005949,SHKBP1,SH3KBP1 binding protein 1
ILMN_1731224,4.37E-08,2.25E-10,7.010025,13.35237,1.2325614,226371705,PARP9,poly(ADP-ribose) polymerase family member 9
ILMN_3238814,4.71E-08,2.47E-10,6.991422,13.26496,1.7597963,346227198,SMA4,glucuronidase beta pseudogene
ILMN_1679620,5.55E-08,2.96E-10,6.95415,13.09009,1.7203815,NA,,
ILMN_3297126,5.71E-08,3.1E-10,6.944915,13.04681,1.7553185,384229045,TYMP,thymidine phosphorylase
ILMN_1675640,5.95E-08,3.3E-10,6.932192,12.98722,1.7887606,992319652,OAS1,2'-5'-oligoadenylate synthetase 1
ILMN_1712487,5.95E-08,3.34E-10,-6.929819,12.97611,-0.6896656,56699484,EIF2D,eukaryotic translation initiation factor 2D
ILMN_1739641,7.55E-08,4.3E-10,6.877627,12.73211,0.6753405,148276974,MTMR3,myotubularin related protein 3
ILMN_2320964,8.39E-08,4.87E-10,6.85194,12.61227,0.8249826,301601655,ADAR,"adenosine deaminase, RNA specific"
